Year,"Agriculture, forestry and fishing",Livestock farming,Crop farming and forestry,Fishing and fish processing on board,Mining and quarrying,Diamond mining,Uranium,Metal Ores,Other mining and quarrying,Primary industries,Manufacturing,Meat processing,Grain Mill products,Other food products,Beverages,Textile and wearing apparel,Leather and related products,Wood and wood products,Publishing and Printing,Chemical and related products,Rubber and Plastics products,Non-metallic minerals products,Basic non-ferrous metals,Fabricated Metals,Diamond processing,Other manufacturing,Electricity and water,Construction,Secondary industries,"Wholesale and retail trade, repairs",Hotels and restaurants,Transport and Storage,Transport,Storage,Information and Communication,Financial and insurance service activities,Real estate activities,Administrative and support services,"Arts, Entertainment & Other Service activities",Public administration and defence,Education,Health,Private household with employed persons,Tertiary industries,All industries at basic prices,GDP at market prices
2011,4496,2846,1650,2921,7833,4255,1505,909,1164,15251,12303,426,698,1635,1661,451,93,276,208,916,292,408,3555,482,770,431,1795,3126,17224,10305,1590,4606,1637,835,2133,4692,8040,2144,2626,8769,7403,2923,972,51927,83303,90108
2012,5278,3227,2051,3329,13562,8148,2223,1066,2124,22168,13027,492,814,1552,1930,511,116,284,188,1027,282,445,3613,563,722,488,2000,3515,18541,11439,1787,5012,1806,867,2339,5463,8767,2242,2336,11770,8827,3200,1126,59726,99120,106865
2013,4131,2350,1781,3659,16218,10683,1900,1387,2247,24009,13828,683,853,2172,2181,721,128,314,219,1131,360,472,2725,623,699,548,2393,4730,20951,14212,1929,5703,2438,969,2296,7607,9469,2422,2150,14032,10526,3573,1110,70312,113747,123150
2014,5262,3127,2135,3831,16352,12063,1227,1545,1516,25444,15094,568,938,2436,2502,467,141,354,250,1306,439,604,2914,697,778,700,3010,6874,24978,17542,2241,6411,2854,1080,2477,7948,10054,2649,2479,16972,12620,3879,1234,81380,129999,141033
2015,4973,2859,2114,3888,17627,12171,1693,2826,936,26488,14603,629,1266,2479,2598,139,98,361,290,1294,533,664,2144,666,907,535,2305,8318,25227,17283,3032,7039,3071,828,3141,10326,10690,2905,2886,17381,14213,4507,1298,88655,138439,150083
2016,5604,3281,2323,4539,19630,12196,1763,4840,831,29773,18289,646,1663,3230,2580,175,90,389,300,1330,575,982,3217,685,1918,509,3887,6495,28672,18792,3791,8048,3555,1154,3339,11040,11245,2694,2992,18497,15919,4848,1405,96576,153084,166006
2017,8089,4987,3102,4472,21515,13199,1702,5801,813,34076,20300,447,2095,3431,3044,759,93,409,308,1362,605,1136,3244,677,2149,540,4568,5175,30043,20021,3961,7951,3222,1243,3487,12598,12456,2837,3215,20486,17522,5346,1461,105017,167134,180605
2018,14066,5427,4118,4521,16013,7915,2218,4552,1328,30079,22269,1426,2240,5719,2927,467,312,465,423,997,352,585,2712,621,2421,602,6631,3739,32639,17918,3474,5712,4344,1368,2459,13976,9557,1863,3074,20722,17430,6148,1188,104739,167457,181067
2019,12837,5178,2977,4682,16479,6060,3287,5758,1374,29316,22583,1364,2203,5761,2894,487,315,509,435,1042,348,640,2873,654,2352,706,6191,3765,32539,18190,3692,5708,4216,1492,2577,12632,10022,1911,3299,20829,18590,6017,1202,105882,167738,181211
2020,15957,6257,5130,4571,16155,4720,3506,6852,1077,32113,19181,1007,2098,4950,2670,472,264,649,387,1073,386,621,1306,571,2104,623,6361,3247,28790,17038,2886,4596,3256,1340,2976,12193,10235,1798,3303,20236,18835,6412,1135,102648,163550,174208
2021,17254,7266,5343,4644,16615,5372,3301,6476,1466,33869,20491,1202,3650,5112,2560,559,329,657,375,1023,421,652,607,676,2008,661,5656,3254,29401,18120,3679,5053,3626,1426,3111,13139,10429,1875,3449,18958,19299,6711,1235,106125,169396,181935