"","X","Branches","Address","ID"
"1",1,"ABACHA BARRACKS","Mogadishu Cantonment (Formerly Sani Abacha Barracks) Asokoro. FCT",5571
"2",2,"ABUJA, LAFIA CLOSE","1, Lafia Close, Area 8. Garki. Abuja",5112
"3",3,"ABUJA MAIN","39 FASKARI CRESENT, AREA 3 GARKI, ABUJA",6877
"4",4,"AHOADA AREA11","PLOT 876, OBAFEMI AWOLOWO CLOSE",5735
"5",5,"AMINU KANO","PLOT 106 AMINU KANO CRESCENT, WUSE 2 ABUJA",5572
"6",6,"AP PLAZA, ABUJA","AP Plaza Adetokunbo Ademola St, Wuse, Abuja",2756
"7",7,"ASOKORO","Plot 21C, Julius Nyerere Street, off Yakubu Gowon Str, Asokoro, Abuja",809
"8",8,"CBD Abuja","Gateway Plaza, Plot 208, Zakariyah Maimalari Road, off Herbert",9534
"9",9,"CEDDI PLAZA","PLOT 264 TAFAWA BALEWA WAY CBD- ABUJA",3130
"10",10,"COURT OF APPEAL","COURT OF APPEAL COMPLEX 3 ARM ZONE",2013
"11",11,"FEDERAL MINISTRY OF WORKS","MABUSHI, UTAKO DISTRICT, ABUJA FCT",9379
"12",12,"GARKI II","PLOT 1347 AHMADU BELLO WAY, GARKI, ABUJA",8126
"13",13,"GWAGWALADA","Plot 63 University Of Abuja Teaching Hospital road",5722
"14",14,"IMANI ESTATE","IMANI ESTATE MAITAMA",8780
"15",15,"KOFORIDUA BO","28 Koforidua Street Wuse Zone 2",2093
"16",16,"LE-MERIDIEN","PLOT 903 , TAFAWA BALEWA STR. AREA 11 GARKI, ABUJA",5263
"17",17,"MAITAMA 2","Plot 701, Usuma Street, off Gana Street, Maitama, Abuja",2629
"18",18,"MINISTRY OF JUSTICE","Fed min of justice HQ, Shehu Shagari way maitama Abuja",1277
"19",19,"NASS - HOUSE OF REPS","National Assembly Complex, Three-Arms Zone Maitama District. Abuja.",8548
"20",21,"NASS – SENATE","National Assembly Complex, Three-Arms Zone Maitama District. Abuja",6377
"21",22,"NATIONAL HOSPITAL, ABUJA","Plot 132, Central Business District FCT. Abuja",6220
"22",23,"NNPC TOWERS","NNPC Towers Abuja",1925
"23",24,"OWENA HOUSE, ABUJA","POWA PLAZA",663
"24",25,"Prestige Abuja Bank","2 Usuma Street, off Gana Street Maiitama Abuja",5063
"25",26,"SILVERBIRD","SILVERBIRD GALLERIA CBD,ABUJA",3402
"26",27,"TRANSCORP HILTON","TRANSCORP HILTON HOTEL. NO. 1 AGUIYI IRONSI STREET,MAITAMA",7255
"27",28,"WAEC","WAEC BUILDING 10 ZAMBEZI CRESCENT MAITAMA",7635
"28",29,"WUSE 2","Plot 52, Ademola Adetokunbo Crescent, Wuse 2, Abuja",9553
"29",30,"WUSE 4","2097 Herbert Macaulay Wy Wuse4",2524
"30",31,"ABA FACTORY ROAD","5, Factory Road, Aba. Abia State",1965
"31",32,"ABA -OKIGWE RD","9 Okigwe Road Aba",8191
"32",33,"ABA OWERRI RD","146/148 Aba-Owerri Road, Aba, Abia State",3573
"33",34,"Aba P/h Road","10, Port Harcourt Road, Aba. Abia State",4275
"34",35,"ABA ROAD UMUAHIA","68 Aba Road Umuahia",8392
"35",36,"BENDE","Bende-Umuahia Road, Bende. Abia State",4831
"36",37,"EZIUKWU B/O","3A CEMETERY ROAD, EZIUKWU MARKET, ABA, ABIA STATE",3287
"37",38,"FACTORY RD, ABA-ABA1","1A, FACTORY ROAD, ABA",9010
"38",39,"FAULKS ROAD, ABA","21, Faulks Road. Aba, Abia State",9251
"39",40,"UMUAHIA","1 FACTORY ROAD / AKANU IBIAM ROAD UMUAHIA, ABIA STATE",4578
"40",41,"AHMADU BELLO WAY","56, Ahmadu Bello Way",8497
"41",42,"GALADIMA AMINU2 B/O","36, GALADIMA AMINU WAY, JIMETA, YOLA",8747
"42",43,"GLADIMA AMINU1 B/O","42, GLADIMA AMINU WAY, JIMETA, YOLA",578
"43",44,"AKA RD","7-13, Aka Road, PMB 1202, Uyo, Akwa Ibom State.",4821
"44",45,"EBUKHU","Ebukhu, MBO L.G.A. Oron. Akwa-Ibom State.",6647
"45",46,"EKET","12B, Grace Bill Rd, PMB 1163. Eket. Akwa Ibom State.",6336
"46",47,"IKOT ABASI","Ibekwe Road, PMB. 1053, Ikot Abasi. LGA. Akwa Ibom State",867
"47",48,"IKOT EKPENE","Esuene Drive, Ikot-Ekpene",5794
"48",49,"NWANNIBA RD, Uyo 3","34, Nwaniba Road, Uyo. Akwa Ibom State",804
"49",50,"UBA PLC ABAK ROAD,UYO","PLOT 15 BLK 1,ABAK ROAD ,UYO",6225
"50",51,"UDO UDOMA AVENUE","Udo Udoma Avenue, Uyo",5302
"51",52,"47, ZIK AVENUE, AWKA, ANAMBRA","47, Zik Avenue, Awka, Anambra",6233
"52",53,"AGULU","EKWULOBIA ROAD AGULU, Anambra State",5247
"53",54,"AWKA 1 - 2 ZIK AVENUE","2 Zik Avenue Awka, Anambra State",6650
"54",55,"AWKA 2 - 47 ZIK AVE","47 ZIK AVENUE, AWKA",4895
"55",56,"AWKA 2 – SECRETARIAT","STATE SECRETARIAT COMPLEX, AWKA, ANAMBRA STATE",7353
"56",57,"ELECTRONICS MARKET ONITSHA","Electronics Mrkt, Onitsha",8930
"57",58,"NKPOR 1 - OKOSISI LANE","OKOSISI LANE, NEW AUTO SPARE PARTS MKT, NKPOR, ANAMBRA",8362
"58",59,"NKPOR 2 - AJULUCHUKWU ST.","14, AJULUCHUKWU ST, NEW PARTS MKT, NKPOR, ANAMBRA",6163
"59",60,"NNEWI 2 - EDO EZEMEWI RD.","22 Edo-Ezemewi Road Nnewi2, Anambra",1401
"60",61,"NNEWI 2 EDO-EZEMEWI RD","22 EDO-EZEMEWI RD NNEWI, ANAMBRA",2564
"61",62,"Nnewi 3","Onitsha Bridge Head",142
"62",63,"NNEWI MOTORCYCLE SPARE PART MARKET","MOTORCYCLE SPARE PART MARKET, NNEWI",5487
"63",64,"NNEWI, PARTS MKT","Ukpor, Nnewi South LGA Anambra",719
"64",65,"Ochanja - Iweka Road","96B, IWEKA ROAD, ONITSHA, ANAMBRA STATE",3085
"65",66,"ONITSHA 1 - NEW MARKET ROAD","37, NEW MKT RD, ONITSHA, ANAMBRA STATE",2759
"66",67,"ONITSHA 3 - 8B NEW MARKET ROAD","8B, MARKET RD, ONITSHA, ANAMBRA STATE",4750
"67",68,"ONITSHA BRIDGEHEAD 1","16 Port Harcourt Road, Bridgehead, Onitsha",953
"68",69,"ONITSHA BRIDGEHEAD 2","30A Port Harcourt Road Bridgehead Onitsha",1333
"69",70,"ONITSHA BRIDGEHEAD 3","56 Port Harcourt Road Bridgehead Onitsha",2229
"70",71,"Onitsha Main (New Market Road 1)","40, NEW MKT RD, ONITSHA, ANAMBRA STATE",4564
"71",72,"ONITSHA OGIDI EXP WAY","5, Enugu / Onitsha Express Way. Ogidi. Anambra State",8819
"72",73,"Onitsha, Bida Rd","3A, Bida Road Main Market Onitsha. Anambra state",5417
"73",74,"Park Road, Nnewi 1","6, ORAIFITE / OGBUFOR RD, NNEWI,ANAMBRA STATE",9204
"74",75,"RELIEF MKT. ONITSHA","Ogbodo Ukwu Road, Relief Market, off Onitsha Owerri Exp. Way",2472
"75",76,"Ugwuagba, Obosi","Ugwuagba Obosi",6971
"76",77,"UNIZIK","Nnamdi Azikiwe University, Akwa, Anambra State",5174
"77",79,"BAUCHI STATE","",2636
"78",80,"Branch","Address",8222
"79",81,"37, ABDULKADIR AHMED WAY","37, Abdulkadir Ahmed Way",2651
"80",82,"ABDULKADIR AHMED WAY","37 ABDULKADIR AHMED WAY",1242
"81",83,"BANK ROAD B/O","10, BANK ROAD COMMERCIAL AREA, BAUCHI",4214
"82",84,"NINGI B/O","ALG BAUCHI-KANO ROAD, NINGI, BAUCHI",8957
"83",85,"Abraka-Ere Hse,Yenezue-Gene Yen","Abraka-Ere Hse,Yenezue-Gene Yen",6856
"84",86,"Mbiama Yenagoa","144 Mbiama Yenagoa, Bayelsa",2475
"85",87,"ONUPA RD, YENAGOA","186, Mbiama Road, Onopa, Yenagoa, Bayelsa State",4209
"86",88,"Swali Road, Yenagoa","A59 Central Business District, Swali, Yenagoa",6062
"87",89,"Commercial Road, Opp Texaco BO","1, Commercial Road, Opp Texaco, Makurdi",5748
"88",90,"Igumale Ado LGA BO","Igumale Ado LGA",5384
"89",91,"JS Tarka BO","14, JS Tarka Road Road, Gboko",8282
"90",92,"NAF Base BO","NAF Base, Makurdi",3747
"91",93,"North Bridge BO","Market Road Junction, North Bridge",3903
"92",94,"Ogiri Oko BO","Ogiri Oko Road, Opp CBN, Makurdi",6495
"93",95,"Otukpo Rd, Makurdi","28, Otukpo Road, Makurdi",4598
"94",96,"UBA Katsina Ala Road, Zaki Biam","UBA Katsina Ala Rd, Zaki Biam",8353
"95",97,"UBA Ohuhu Owo Oju LG","UBA Plc, Ohuhu Owo Oju LG",6918
"96",98,"BAGA ROAD B/O","8,BAGA RD, MAIDUGURI, BORNO",2731
"97",99,"DAMASAK B/O","Baga Road Maiduguri",1121
"98",100,"GOMBI ROAD B/O","GOMBI ROAD, PMB 1501, BIU, BORNO",7577
"99",101,"KASHIM IBRAHIM 1 B/O","2, SIR KASHIM IBRAHIM RD, MAIDUGURI",7026
"100",102,"KASHIM IBRAHIM 2 B/O","24, SIR KASHIM IBRAHIM,MAIDUGURI",7356
"101",103,"MONDAY MARKET B/O","MONDAY MARKET, PMB 1303, MAIDUGURI",3003
"102",104,"18, OKIM OSABOR STREET, IKOM, CROSS RIVER","18 Okim Osabor Street Ikom Cross River",4624
"103",105,"CALABAR RD 2","14, Calabar Road, Calabar. Cross River State",1349
"104",106,"IKOM","18 OKIM OSABOR STREET, IKOM, CROSS RIVER",172
"105",107,"UBA 1 CALABAR","15 CALABAR RD, CALABAR",477
"106",108,"UBA CALABAR 3","12 CALABAR ROAD, CALABAR",3997
"107",109,"97, ISOKO ROAD, UGHELLI, DELTA STATE","97, Isoko Road Ughelli, Delta State",2423
"108",110,"ABBI","UKANABOR UKU STREET ABBI NDOKWA WEST LGA",6174
"109",111,"ABRAKA","OLD AGBOR ROAD, EKREJETA, ABRAKA",1284
"110",112,"AGBOR","59, OLD LAGOS-ASABA RD., BOJI BOJI OWA, AGBOR,DELTA STATE",3184
"111",113,"ASABA 2","261 NNEBISI ROAD ASABA, DELTA STATE",1267
"112",114,"ASABA 3","PLOT 171 NNEBISI RD, ASABA, DELTA STATE",3892
"113",115,"ASABA 1","Plot 238 Nnebisi Road, Asaba, Delta State",9990
"114",116,"EFFURUN, SAPELE RD","72, Effurun / Sapele Road. Effurun, Warri. Delta State",6351
"115",117,"EFFURUN1","39,EFFURUN SAPELE ROAD, EFFURUN",1203
"116",118,"ISSELE – UKU","Old Asaba/Lagos Road, by Obi's Palace, Issele-uku, Delta state",3640
"117",119,"OGHARA","Ajagbodudu Road, Oghara. Delta state",8324
"118",120,"OGORODE B/O","LIFE FLOUR MILL PREMISES OGORODE, DELTA STATE",7730
"119",121,"OKPE RD, SAPELE","55 Okpe Rd. Sapele. Delta State",7017
"120",122,"OLD AGBOR ROAD, EKREJETA ABRAKA","Old Agbor Road, Ekrejeta Abraka",7425
"121",123,"PTI EFFURUN","Petroleum Training Institute Complex - Effurun. Branch",1939
"122",124,"SAPELE B/O","4, COURT ROAD SAPELE, DELTA STATE",8301
"123",125,"UGHELLI","97 ISOKO ROAD",2744
"124",126,"WARRI 1","6 OKUMAGBA AVENUE WARRI DELTA STATE",3685
"125",127,"WARRI 3","65 WARRI/SAPELE ROAD, WARRI",3431
"126",128,"WARRI PPMC","PPMC AREA COMPLEX, WARRI",2760
"127",129,"3, OGOJA ROAD, ABAKALIKI","3 Ogoja Road, Abakaliki",5724
"128",130,"OGOJA ROAD ABAKALIKI B/O","4B OGOJA ROAD, ABAKALIKI, EBONYI STATE",9959
"129",131,"ONUEKE","42, Abakaliki / Afikpor Road, by Ezza South LGA Hqtrs. Ebonyi State",3654
"130",132,"ZIK AVENUE BRANCH , ABAKALIKI","3 ZIK AVENUE , PMB 139, ABAKALIKI",6896
"131",133,"AIRPORT RD, BENIN","45, Airport Rd. Benin City. Edo State",7874
"132",134,"AKPAKPAVA 2","81 AKPAKPAVA RD BENIN CITY",6935
"133",135,"AKPAKPAVA 3","56 AKPAKPAVA BO, BENIN-CITY, EDO STATE",3859
"134",136,"AUCHI","62 JATTU ROAD, AUCHI, EDO STATE",6137
"135",137,"BENIN MAIN","4, AKPAKPAVA RD, BENIN",248
"136",138,"EKEN EKPOMAWAN RD, BENIN","89C, Ekenwan Road. Benin City. Edo State",4359
"137",139,"EKPOMA","7 UKPENU ROAD, EKPOMA",4607
"138",140,"IKPOBA HILL","11, Benin-Agbor Road, Ikpoba Hill 1, Benin City, Edo State",6737
"139",141,"SAKPONBA RD","3 SAKPONBA RD, BENIN",412
"140",142,"SAPELE ROAD B/O","100, SAPELE ROAD, BENIN CITY.",1231
"141",143,"TEXTILE MILL RD, BENIN","Address 100, Textile Mill Rd, Benin-City, Edo State.",8159
"142",144,"UGBOWO 1","218, USELU - LAGOS RD, UGBOWO, Benin-City, Edo State",1609
"143",145,"UGBOWO 2","302 USELU/LAGOS RD, Benin-City",2318
"144",146,"UPPER MISSION ROAD","134 UPPER MISSION ROAD BENIN CITY",1836
"145",147,"UROMI","7, Mission Road, Uromi, Edo State",1391
"146",148,"ADO EKITI 1","UBA, New Secretariat Road, Ado-Ekiti. Ekiti State.",6775
"147",149,"ADO EKITI 2","72 AJILOSUN STREET, ADO EKITI",2802
"148",150,"AGBADO-EKITI","58, AIYEGUNLE STREET AGBADO-EKITI",9484
"149",151,"OYE-EKITI, OTUN JUNCTION, OYE EKITI","Oye-Ekiti BO/Otun Junction, Oye_Ekiti",7128
"150",152,"UNIVERSITY OF ADO-EKITI","University of Ado-Ekiti",8835
"151",153,"USI EKITI","Oke-Odi Street, Usi-Ekiti, Ekiti State",368
"152",154,"9TH MILE CORNER, ENUGU","9th Mile Corner, Op Ezeagu LG HQ Aguobuowa, Enugu",9789
"153",155,"AGBANI","143, Agbani Road, Enugu State.",5949
"154",156,"ENUGU 1","20, Okpara Avenue. Enugu",5740
"155",157,"ENUGU MAIN","10, Station Road, off Okpara Avenue, Enugu",1712
"156",158,"INDEPENDENT LAYOUT","Upper Presidential Road (WAEC Junction), Independence Layout",6064
"157",159,"KENYATTA","36, Kenyatta Street, Uwani, Enugu, Enugu State.",4938
"158",160,"NEW HAVEN","Plot 2, Ebeano Housing Estate New-Haven Junction, Enugu.",8425
"159",161,"OGBETE MAIN MARKET B/O","Ogbete Main Market Bo",7419
"160",162,"OKPARA AVE (ENUGU)","53,OKPARA AVE.ENUGU",9030
"161",163,"TRANS – EKULU","49, Nike Lake Resort Road, Oppo. NOWAS Filling Station. Trans – Ekulu",7068
"162",164,"UNEC","University of Nigeria, Enugu Campus.",492
"163",165,"UNN","University of Nigeria Nsukka, Enugu State",9190
"164",166,"ASHAKA CEMENT B/O","BY ASHAKA CEMENT PLC GATE, GOMBE",1784
"165",167,"MAIN MARKET B/O","MAIN MARKET ROAD, KUMO",5467
"166",168,"NEW MARKET B/O","8, NEW MARKET ROAD, OFF BIU ROAD, GOMBE",4833
"167",169,"ASSUMPTA-OWERRI","3 ASSUMPTA AVENUE OWERRI,IMO STATE",2451
"168",170,"DOUGLAS ROAD","34 DOUGLAS ROAD OWERRI IMO STATE",6638
"169",171,"EKE-AHIARA JUNCTION, AHIAZU MBAISE, IMO","Eke-Ahiara Junction, Ahiazu Mbaise, Imo",9678
"170",172,"GOVT STATION LAYOUT, ORLU","Govt Station Layout Orlu",2009
"171",173,"MBARI","4 MBARI STREET, IKENEGBU, OWERRI IMO STATE",3805
"172",174,"NWAORIEUBI","Owerri-Orlu Road, PMB 1002, Mbaitoli L.G.A, Nwaorieubi. Imo State",3919
"173",175,"ORLU","44A GOVT STATION ROAD, ORLU",7787
"174",176,"UMUAKA, B/O","UMUAKA B/O, NJABA LGCA, OWERRI/ORLU ROAD, UMUAKA,OWERRI",1196
"175",177,"WETHERAL RD","60, Wetheral Road, Owerri, Imo State",8114
"176",178,"Dutse","SANI ABACHA WAY, KIYAWA ROAD",7567
"177",179,"HADEJIA B/O","KANO ROAD, HADEJIA, JIGAWA",6667
"178",180,"AHMADU BELLO B/O","1A, AHMADU BELLO WAY, KADUNA",5868
"179",181,"ALI AKILU B/O","4, ALI AKILU ROAD, KADUNA.",9072
"180",182,"KACHIA ROAD B/O","KACHIA ROAD, KADUNA.",7893
"181",183,"KADUNA BYE PASS","Kaduna Bye Pass",4155
"182",184,"KADUNA ROAD 1 B/O","F1, KADUNA ROAD, ZARIA",8052
"183",185,"KADUNA ROAD 2 B/O","F11, KADUNA ROAD, ZARIA",1159
"184",186,"KAFANCHAN B/O","KAFANCHAN ROAD, KADUNA",3951
"185",187,"KM 16, KACHIA ROAD, NNPC DEPOT","Km 16 Kachia Road, NNPC Depot",3589
"186",188,"MOGADISHU LAYOUT B/O","MOGADISHU LAYOUT, KADUNA",444
"187",189,"OGBOMOSHO ROAD B/O","14, OGBOMOSHO ROAD, KADUNA",2937
"188",190,"SOKOTO ROADA.B.U SAMARU ZARIA","161/162 Sokoto Road Opp. A.B.U Samaru Zaria",2727
"189",191,"YAKUBU GOWON B/O","3, YAKUBU GOWON ROAD, KADUNA",6203
"190",192,"ZONKWA","Zonkwa",6765
"191",193,"SHARADA B/O","SHARADA IND. ESTATE, PHASE 1",1802
"192",194,"TUDUN WADA","KI POLYTECHNIC ROAD TUDUN WADA",9777
"193",195,"UBA ADO BAYERO B/O","31, ADO BAYERO ROAD, KANO",7399
"194",196,"AIRPORT B/O","MALLAM AMINU KANO INTERNATIONAL AIRPORT",424
"195",197,"BUK BO","BAYERO UNIVERSITY B/OFFICE (BUK)",1286
"196",198,"CX HOTORO B/O","165 MAIDUGURI RD, HOTORO",2523
"197",199,"CX KANO B/O","15B, POST OFFICE ROAD, KANO",9418
"198",200,"KANO 1 B/O","14B, BELLO ROAD, KANO",7355
"199",201,"KANO 2 B/O","PLAZA ROAD, KANTIN KWARI",9087
"200",202,"KANO 3 B/O","3A, FRANCE ROAD, SABON GARI, KANO",6545
"201",203,"KANO MAIN BO","4B, BANK ROAD, KANO",3269
"202",204,"KANO WAJE","38, MURTALA MOHAMMED WAY",6978
"203",205,"NIGER STREET B/O","NIGER STREET BO",5488
"204",206,"DUTSIN B/O","KANKIA BYE PASS, DUTSIN-MA",4011
"205",207,"FUNTUA B/O 1","146-148, ZARIA ROAD, FUNTUA",3535
"206",208,"KATSINA B/O 1","165, IBB WAY, KATSINA",5448
"207",209,"KATSINA B/O 2","23, IBB WAY, KATSINA",9884
"208",210,"ARGUNGU B/O","TASHAR NANA ROAD, ARGUNGU",7923
"209",211,"BIRNIN KEBBI","B1 SULTAN ABUBAKAR RD B-KEBBI",137
"210",212,"AJAOKUTA B/O","GEREGU CAMP, AJAOKUTA STEEL COMPLEX",9808
"211",213,"ANKPA COLLEGE OF EDUCATION","Ankpa College of Education",4847
"212",214,"ANYIGBA BRANCH OFFICE","Anyigba Bo",2022
"213",215,"IDAH B/O","89C, AYEGBA OMAIDOKO WAY, IDAH",4810
"214",216,"KABBA B/O","LOKOJA ILORIN ROAD, KABBA",9441
"215",217,"LOKOJA 1 B/O","7A IBB WAY, OKENE-KABA ROAD, LOKOJA",9298
"216",218,"LOKOJA 3","ADANKOLO JUNCTION, LOKOJA",414
"217",219,"LOKOJA 4","145, MURTALA MOHAMMED ROAD,LOKOJA",322
"218",220,"OBAJANA","OBAJANA BUSINESS OFFICE",3330
"219",221,"ODE ERE","Lokoja-Kabba Road,Odo Ere. Kogi State.",2558
"220",222,"OKENE B/O","43, LOKOJA-OKENE ROAD, OKENE",9192
"221",223,"WHARF ROAD","4 WHARF ROAD, LOKOJA",7945
"222",224,"3, WAHAB FOLAWIYO ROAD, ILORIN","3, Wahab Folawiyo Road, Ilorin",2981
"223",225,"ARMTI","Agricultural & Research Mgt. Training Inst. Lokoja Rd. Ilorin",6234
"224",226,"EGOSI","Egosi",3422
"225",227,"ESIE","Esie/Ijan Road, Esie Kwara State",5406
"226",228,"ILORIN 1","AKEWUSOLA PLAZA 137 MURITALA MOHD WAY, ILORIN",2653
"227",229,"ILORIN 2","123, MURITALA MOHAMMED WAY, ILORIN KWARA STATE",2686
"228",230,"OFFA","78, Ibrahim Taiwo Rd, Offa. Kwara State",6777
